 [1] New block (val: 0)
 [_] 0xC9 CL (val: 9)
 [_] 0xCA CL (val: 9)
 [_] 0xCB CL (val: 9)
 [_] 0xCC CL (val: 9)
 [_] 0xCD CL (val: 9)
 [_] 0xCE CL (val: 9)
 [3] LREP (3 times)
 [_] 0xCF CL (val: 9)
 [_] 0xD0 CL (val: 9)
 [_] 0xD1 CL (val: 9)
 [4] 0xD2 CL (val: 0)
 [3] LREP (4 times)
 [_] 0xD3 CL (val: 0)
 [_] 0xD4 CL (val: 0)
 [_] 0xD5 CL (val: 0)
 [_] 0xD6 CL (val: 0)
 [4] 0xD7 CL (val: 7)
 [3] LREP (4 times)
 [_] 0xD8 CL (val: 7)
 [_] 0xD9 CL (val: 7)
 [_] 0xDA CL (val: 7)
 [_] 0xDB CL (val: 7)
 [3] 0xDC CL (val: 9)
 [3] LREP (6 times)
 [_] 0xDD CL (val: 9)
 [_] 0xDE CL (val: 9)
 [_] 0xDF CL (val: 9)
 [_] 0xE0 CL (val: 9)
 [_] 0xE1 CL (val: 9)
 [_] 0xE2 CL (val: 9)
 [3] LREP (6 times)
 [_] 0xE3 CL (val: 9)
 [_] 0xE4 CL (val: 9)
 [_] 0xE5 CL (val: 9)
 [_] 0xE6 CL (val: 9)
 [_] 0xE7 CL (val: 9)
 [_] 0xE8 CL (val: 9)
 [3] LREP (6 times)
 [_] 0xE9 CL (val: 9)
 [_] 0xEA CL (val: 9)
 [_] 0xEB CL (val: 9)
 [_] 0xEC CL (val: 9)
 [_] 0xED CL (val: 9)
 [_] 0xEE CL (val: 9)
 [3] LREP (6 times)
 [_] 0xEF CL (val: 9)
 [_] 0xF0 CL (val: 9)
 [_] 0xF1 CL (val: 9)
 [_] 0xF2 CL (val: 9)
 [_] 0xF3 CL (val: 9)
 [_] 0xF4 CL (val: 9)
 [3] LREP (6 times)
 [_] 0xF5 CL (val: 9)
 [_] 0xF6 CL (val: 9)
 [_] 0xF7 CL (val: 9)
 [_] 0xF8 CL (val: 9)
 [_] 0xF9 CL (val: 9)
 [_] 0xFA CL (val: 9)
 [3] LREP (4 times)
 [_] 0xFB CL (val: 9)
 [_] 0xFC CL (val: 9)
 [_] 0xFD CL (val: 9)
 [_] 0xFE CL (val: 9)
 [4] 0xFF CL (val: 6)
 [3] EofB CL (val: 9)
 [5] l_00 CL (val: 4) (length 3)
 [4] l_01 CL (val: 7) (length 4)
 [4] l_02 CL (val: 6) (length 5)
 [3] l_03 CL (val: 9) (length 6)
 [4] l_04 CL (val: 5) (length 7)
 [4] l_05 CL (val: 6) (length 8)
 [4] l_06 CL (val: 6) (length 9)
 [4] l_07 CL (val: 8) (length 10)
 [4] l_08 CL (val: 8) (lengths [11-12])
 [4] l_09 CL (val: 5) (lengths [13-14])
 [4] l_10 CL (val: 8) (lengths [15-16])
 [3] l_11 CL (val: 9) (lengths [17-18])
 [3] LREP (6 times)
 [_] l_12 CL (val: 9) (lengths [19-22])
 [_] l_13 CL (val: 9) (lengths [23-26])
 [_] l_14 CL (val: 9) (lengths [27-30])
 [_] l_15 CL (val: 9) (lengths [31-34])
 [_] l_16 CL (val: 9) (lengths [35-42])
 [_] l_17 CL (val: 9) (lengths [43-50])
 [3] LREP (6 times)
 [_] l_18 CL (val: 9) (lengths [51-58])
 [_] l_19 CL (val: 9) (lengths [59-66])
 [_] l_20 CL (val: 9) (lengths [67-82])
 [_] l_21 CL (val: 9) (lengths [83-98])
 [_] l_22 CL (val: 9) (lengths [99-114])
 [_] l_23 CL (val: 9) (lengths [115-130])
 [3] LREP (5 times)
 [_] l_24 CL (val: 9) (lengths [131-162])
 [_] l_25 CL (val: 9) (lengths [163-194])
 [_] l_26 CL (val: 9) (lengths [195-226])
 [_] l_27 CL (val: 9) (lengths [227-257])
 [_] l_28 CL (val: 9) (length 258)
 [5] d_00 CL (val: 4) (distance 1)
 [4] d_01 CL (val: 5) (distance 2)
 [4] d_02 CL (val: 0) (distance 3)
 [4] d_03 CL (val: 5) (distance 4)
 [4] d_04 CL (val: 5) (distances [5-6])
 [5] d_05 CL (val: 3) (distances [7-8])
 [5] d_06 CL (val: 4) (distances [9-12])
 [3] LREP (6 times)
 [_] d_07 CL (val: 4) (distances [13-16])
 [_] d_08 CL (val: 4) (distances [17-24])
 [_] d_09 CL (val: 4) (distances [25-32])
 [_] d_10 CL (val: 4) (distances [33-48])
 [_] d_11 CL (val: 4) (distances [49-64])
 [_] d_12 CL (val: 4) (distances [65-96])
 [3] LREP (4 times)
 [_] d_13 CL (val: 4) (distances [97-128])
 [_] d_14 CL (val: 4) (distances [129-192])
 [_] d_15 CL (val: 4) (distances [193-256])
 [_] d_16 CL (val: 4) (distances [257-384])
 [4] d_17 CL (val: 8) (distances [385-512])
 [4] d_18 CL (val: 8) (distances [513-768])
 [4] d_19 CL (val: 7) (distances [769-1024])
 [4] d_20 CL (val: 7) (distances [1025-1536])
 [4] d_21 CL (val: 7) (distances [1537-2048])
 [9] 7D  }
 [4] 00
[17] (121,1)
[13] (258,1)
 [6] 03
[10] (7,4)
 [5] 02
[16] (11,20)
 [6] 01
[19] (31,52)
 [9] 12
[18] (22,20)
 [9] (3,4)
[17] (114,1)
 [9] 40  @
 [9] 0D
 [5] 75  u
[15] (7,180)
[16] (14,184)
 [8] 4A  J
[16] (11,24)
 [5] 02
[21] (31,256)
 [7] 07
[16] (4,72)
[15] (8,80)
 [4] 00
 [5] 75  u
[14] (14,33)
 [6] 04
[10] (13,8)
[17] (13,292)
 [7] 07
[13] (13,18)
[17] (15,56)
 [9] 0F
[22] (22,335)
 [5] 02
[14] (8,56)
 [7] 06
[12] (7,17)
 [7] 06
 [5] 75  u
[18] (16,89)
[10] (8,8)
[17] (101,1)
 [7] 05
 [9] (7,8)
 [8] 5C  \
 [4] 00
 [5] 75  u
[15] (13,119)
 [7] 07
[13] (15,8)
 [6] C0
 [6] 04
 [5] 75  u
[17] (14,263)
[11] (7,16)
 [9] 0A
[17] (14,296)
[16] (9,215)
 [9] 18
[12] (7,32)
 [7] 08
[17] (8,344)
 [9] (7,8)
 [9] 09
[13] (8,32)
 [9] (7,8)
 [9] 0B
[12] (9,16)
[16] (54,1)
 [5] 75  u
 [9] 9C
 [9] 87
 [9] 3A  :
 [9] (3,4)
 [9] 3F  ?
 [6] FF
[13] (4,5)
 [9] (3,4)
[28] (46,645)
[13] (258,1)
 [9] BF
 [4] 00
 [4] 00
 [9] 76  v
 [4] 00
 [9] BD
 [6] C0
 [7] 06
 [5] 75  u
 [4] 00
 [7] 8D
 [9] B5
 [9] 40  @
 [6] 04
 [4] 00
 [4] 00
 [9] 31  1
 [6] C0
 [9] AC
 [9] 3C  <
 [5] 75  u
 [9] 0F
 [9] 84
 [7] 8C
[11] (3,27)
 [9] F7
 [9] 65  e
 [9] 10
 [9] AC
 [6] 89
 [9] C3
 [9] 31  1
 [9] C9
[13] (5,19)
 [7] 74  t
 [9] E6
[10] (3,15)
 [6] 01
 [7] C1
 [9] AC
 [9] E8
 [5] 02
[11] (3,26)
 [7] 74  t
 [9] EC
 [7] D9
 [8] 45  E
 [4] 00
 [7] D8
 [8] 4D  M
 [6] 04
 [9] 2C  ,
 [6] 01
 [5] 75  u
 [9] F9
 [8] 57  W
 [8] 51  Q
 [7] 8D
 [9] 3C  <
 [9] 8F
 [8] 53  S
 [8] 53  S
 [7] DB
 [6] 04
 [9] 24  $
 [7] DA
 [7] 74  t
 [9] 24  $
 [7] 08
 [7] D9
 [7] C1
 [9] D0
 [9] CB
 [9] 73  s
 [9] 0A
 [7] D8
 [6] C0
 [7] D8
 [9] C9
[11] (5,2)
 [9] C2
 [7] DA
 [9] 0C
 [9] 24  $
[11] (3,17)
 [9] 0C
 [7] D9
 [6] C0
 [7] D8
 [6] C0
 [7] D9
 [9] FE
[11] (3,23)
 [9] CA
 [9] DE
 [7] C1
 [7] D9
 [9] FE
[11] (3,18)
 [5] 02
 [7] D8
 [9] E0
 [9] B8
 [9] C3
[19] (3,431)
[10] (3,11)
 [9] 0E
 [9] F7
 [9] 65  e
 [9] 0C
 [6] 89
 [8] 45  E
 [9] 0C
 [7] DB
 [8] 45  E
 [9] 0C
 [7] DA
 [5] 75  u
 [7] 08
 [9] DE
[12] (3,64)
 [9] DE
 [9] C9
 [6] C0
 [9] C3
 [7] 05
 [7] D8
 [7] 07
 [7] D9
 [9] 1F
 [9] AF
 [6] FF
 [9] 0C
 [9] 24  $
 [5] 75  u
 [9] A6
 [8] 5F  _
 [8] 5F  _
 [8] 59  Y
 [8] 5F  _
 [9] C3
 [9] BD
[22] (4,1000)
 [9] BB
 [7] 74  t
 [4] 00
 [5] 75  u
 [4] 00
 [8] 4C  L
 [7] 8D
 [5] 75  u
 [9] 12
 [8] 53  S
 [8] 5F  _
 [6] 6A  j
 [5] 02
 [8] 5E  ^
 [6] FF
 [8] 55  U
 [4] 00
 [6] 89
 [8] 45  E
 [9] F8
 [6] FF
 [9] C3
 [9] 67  g
 [9] 80
 [9] 3B  ;
 [4] 00
 [5] 75  u
 [8] (3,8)
 [7] 8B
 [9] 7D  }
 [9] F8
 [8] 53  S
[11] (3,21)
 [9] 0A
 [8] 49  I
 [6] 89
 [7] 06
 [8] 49  I
 [9] 83
 [9] C6
 [7] 08
[13] (8,25)
 [9] (7,8)
 [9] E1
 [9] (7,8)
 [9] C4
[12] (3,64)
 [9] 2A  *
 [6] 6A  j
 [9] 31  1
 [8] 5F  _
 [9] 41  A
 [6] FF
 [9] 16
[15] (4,38)
 [9] 31  1
 [6] FF
 [9] BE
 [4] 00
 [4] 00
 [6] FF
 [9] 1F
 [6] 89
 [9] F2
 [7] 8B
 [8] 4D  M
 [6] C0
 [9] 44  D
 [7] 8B
 [8] 45  E
 [9] C4
 [6] 6A  j
 [5] 02
 [9] 41  A
 [8] 59  Y
[12] (7,27)
 [8] 48  H
 [6] 89
 [8] 45  E
 [4] 00
 [8] 48  H
 [7] 8B
 [9] 7D  }
 [4] 00
[11] (7,15)
 [7] 8D
 [9] 7D  }
 [9] C8
 [9] 31  1
 [9] F6
[14] (9,54)
[11] (7,9)
 [9] (7,7)
 [6] 89
 [8] 45  E
 [7] 08
 [9] BF
 [9] 30  0
 [7] 8B
 [4] 00
 [4] 00
[12] (9,15)
 [9] F8
 [6] 6A  j
 [6] 01
 [8] 5E  ^
 [7] 8D
 [8] 55  U
 [9] E8
 [9] 31  1
 [9] C9
[14] (3,149)
[12] (7,21)
[12] (13,10)
 [7] 8B
 [5] 75  u
 [7] 08
 [8] 48  H
 [9] 87
 [9] F7
[12] (9,16)
[15] (8,72)
 [9] E8
 [9] 29  )
 [4] 00
 [4] 00
[16] (5,225)
[15] (13,120)
 [9] 2A  *
[14] (10,10)
 [9] B4
 [6] 03
 [9] AF
 [5] 75  u
 [7] DA
[10] (3,15)
 [6] 6A  j
 [6] 01
 [8] 58  X
 [9] CD
 [9] 80
[12] (3,41)
 [9] 7A  z
[14] (14,64)
[12] (3,34)
 [7] DB
 [9] 85
 [9] B8
 [9] F2
 [4] 00
 [4] 00
 [7] DA
 [5] 75  u
 [9] C8
[15] (3,319)
 [7] DB
 [8] 45  E
 [6] C0
[12] (5,6)
 [9] C4
 [7] D9
 [9] 1F
 [7] 8D
 [5] 75  u
 [9] F0
[16] (10,39)
 [8] 50  P
 [8] 5F  _
[16] (5,159)
[15] (8,88)
 [9] BF
 [4] 00
 [9] 41  A
[16] (9,187)
 [6] 6A  j
 [6] FF
 [8] 5E  ^
 [8] 56  V
[11] (3,30)
 [8] 5A  Z
 [8] 52  R
[18] (4,262)
 [9] C3
 [7] C1
 [9] EA
 [5] 02
 [6] 89
 [9] D1
 [7] 8B
 [8] 47  G
 [9] F8
 [6] 01
 [8] 57  W
 [9] F8
 [7] 8D
 [9] 3C  <
 [9] 87
[14] (3,178)
 [9] F3
 [9] A5
 [9] C3
 [4] 00
[18] (206,1)
 [5] 02
 [6] 01
 [4] 00
 [9] 14
 [6] 04
[11] (13,2)
 [5] 02
 [9] (3,2)
[20] (108,18)
 [5] 75  u
 [6] 01
 [7] 08
 [9] 24  $
 [9] 43  C
 [7] 08
[11] (5,2)
 [6] 03
 [9] 43  C
 [7] 05
[18] (41,10)
 [5] 75  u
 [6] 03
 [5] 02
 [5] 02
 [9] 25  %
 [6] 04
 [9] (3,2)
 [6] 03
 [9] 25  %
 [5] 02
 [9] 25  %
 [6] 03
 [9] 22  "
 [6] 03
 [9] 22  "
 [5] 02
 [9] 22  "
[11] (7,6)
[21] (133,22)
 [5] 75  u
 [5] 75  u
 [4] 00
[18] (165,1)
 [9] 80
 [5] 02
 [4] 00
 [4] 00
 [9] E0
 [6] 01
 [8] (3,8)
 [9] BB
 [4] 00
 [4] 00
 [9] 20   
 [9] 81
 [6] 01
[22] (9,1713)
 [9] 1D
 [9] 0A
[16] (8,193)
 [9] 76  v
[12] (5,6)
 [9] AB
 [6] 01
[15] (6,16)
 [5] 75  u
 [4] 00
 [9] EofB
